Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
4 mar 2017;554,60;567,27;
5 mar 2017;554,60;567,27;
6 mar 2017;554,60;567,27;
7 mar 2017;554,88;567,40;
8 mar 2017;554,82;567,44;
9 mar 2017;555,35;567,98;
10 mar 2017;555,41;568,09;
11 mar 2017;555,10;567,83;
12 mar 2017;555,10;567,83;
13 mar 2017;555,10;567,83;
14 mar 2017;555,09;567,72;
15 mar 2017;554,52;567,21;
16 mar 2017;553,57;566,17;
17 mar 2017;552,90;565,53;
18 mar 2017;551,81;564,43;
19 mar 2017;551,81;564,43;
20 mar 2017;551,81;564,43;
21 mar 2017;551,56;564,07;
